order_id,aisle_id
2,86;83;104;19;17;105;88;123
3,120;91;123;83;35;112
4,93;11;3;48;107;125;78;31;64
5,24;89;1;123;84;54;115;33;49;21;4;32;61;45;83;88;127;131;78
6,31;75;101
7,31;116
8,43
9,83;123;120;61;99;19;115;112;98;91;21;57
10,24;83;16;92;59;53;122
11,38;67;59;107;19
12,53;84;83;98;69;34;125;129;40
13,27;51;124;77;64;31;115;108;107
14,26;84;52;129;21;121;120;58;66;116;24
15,115;19;59;25
16,23;115;107
18,54;83;18;123;84;115;24;92;36;66;116;59;72;88;117;106;13
19,123;91;83
20,61;52;83;120;64;24;107
21,14;24;21;26
22,84;112;24;83;123;86;21;35;96;93;108;85
23,123;83;24;131;42;14;108;89;45;20
24,37
25,23;116;52;21;86;106;129;40;79;38;123
26,91;24;49;86;123;116
27,24;120;67;45;69;83;108;81;59;14;9;21;131;123;116;17;85
28,36;108;35;24;84;88;83;21;53;120
29,32;115;24;83
30,31;116;91
31,94;83;123;16;63;117;106
32,91;120;24;116;112;83;123
33,38;26;31;19;21;37;25;71;61
35,83;8;98;107;61
37,107;46
39,83;24;123;96
40,84;38;115
41,96;129
42,91;36;24
43,21;60;61;20;108;24
44,52;77;121;34;96;29;67;38;93
45,83
46,133;128;108;78;120;48;21;96;50;107;54;38;112;111;37;4
47,24;123;32;106
48,69;120;19;34;5;84
49,24;26;91
50,17;120;16;21;37
51,112;84;83;16;10;19;115
52,19;24;83;57
53,24;112;14;123;120;128;21;50
54,105;24;116;61;119;108
55,36;17;120;24;123;79;13;83;131;86;107;112;87;22
56,81;21;83;86;116;105;24;123;53;31
57,123;115;24;93
58,9;67;24;123
59,40
60,120;81;84;77;24;123;8;112;21;83;96
61,123;24;91;121;84;53;120;32;107
62,39;91;123;24;59;83
63,63;108;104;112;116;35;96;83
64,26;84;115;54;113
65,84;66
66,107;9;84;37;61;94
67,24;120;96;86;37;107;31
68,94;115;32;24;77;89;120;133
69,92;84;37;93;32;123
70,43;63;120;35
71,39;117;24;81;83;16;132;115
72,24;31;91;72;83;36;84
73,83;112;107;123
74,83;69;91;86;37;96;72;106
75,120;37;68;123;32;83;107;46;79;119;21;100;67;110;112
76,107;24;123;83
77,107;121;91;115;83;24;42;112;67;9;86
78,84;21;67;78;24
79,84;24;6;94;114
80,120;84;3;24;108;83
81,123;91;24;83;81
82,84;81;106;103;24
83,24;121;91;123;38;32;78;12;31;117;83;72
84,84;57;98;16;117;99;81;94
85,24;32;17;45;111;10;26;54
86,114;127;60;84;74;93
87,24;115;104;30;49;74;80;123;107;78;64;89
88,123;53;24;120;3;67;131;96;86;50;21;116;15;83
89,83;23;24
90,123;105;81
91,83;17;33;92;96
92,98;123;120;38;48;107;106;66;105;91;72;58;83;67;24;53;77
93,3;104;121;98;30;84;53;108;74;66;24;83;96
94,115;117;86;116
95,36;15;95;21;86;24;120;96;83;34;52
97,78;120;37;4;26;98;22;52;96;127;57;73;74;69;93;88;61;19
99,120;31;112;106;108;66
100,115;77
101,89;123;23;115;91;107;94;95;131;24
102,83;71;123;24;67;78;131
103,26
104,96;120;24;123
105,115;37;24;4;120;123;99;50;84;86
106,84;86;96;106;105;43;21;91;37;83;4;131;129;107;9;81;87;72;102;22
107,83;78;3;91;88
108,84;114;72;21;123;25
109,89;54;31;36;114;26;24;21;115;69;1;8;126;107;6;96
110,24;91;122;21;83;47
111,24;96;35;94;83
113,86;91;17;123;24;83;21
114,120;107;89;86;21;53;13;38;129
115,84;3;123;91;117;9;114;70;113;4;86;85
116,83;96
117,36;26;53;108;41;72;78;121;115;67;9;93;21
118,32;24;83
119,58;81;83;21;19;110;78
120,116;24;123;21;108;32;120;77;86;83
121,17;114;78;120
122,83;123
123,115;83;21;65;31;120;42;130;24;38;116;131
124,83;58;72;107;3;16
125,112;21;67;86;107;96;24;92;125;53;123;83;4;9;116;131;59;57;52;58;42;84
126,65;120;49;24;57
127,24;116;59;53;3;107;112;52;23
128,106;96;83;24;123;131;63;31;16
129,24;120;64;83;61;122;98;40;50;31;39;94;84
130,67;107;128;95;24;91;83;120;81;115;84
131,24;83;16;116;123;120;104;59;19;97;128
132,112;121;88;98;91;67;14;21
133,83;91
134,123;84;9;52;21;107;120;93;116;83;37;66;50;31
135,23;107;123;110
136,24;86;117;108
138,31;83;99;98;122
139,116;83;123;21;31
140,69;116;3;59;77;115;86;107;78
141,77;57;115;48;61;84;91;54;94
142,84;21;65;115;72;89;22
143,24;107;83;29;123;54;23;116;21;91;36;112;96;38;77
144,107;86;91;108;120;78;83;123;1;112;52;36
145,117;72;50
146,21;24;32;50;3;48;115;125;78
147,91;84;83;104;17;66;121;88
148,63;91;84;86;83;123;129;19;116;20;24;78
149,9;67;107
150,26;3;121
151,24;17;19;116
152,24;32;18;67;29
153,115;78;117;3;91;52;96
154,67;4;100
155,88;83;66;53;17
156,112;51;98;37;69
157,59;94;16;116;123
158,123;98;120;83;24
159,123;83;21;115
160,24;120;37
161,96;37;77
